"region","date","asp","units"
"Albany","12/27/2015",1.33,64236.62
"Albany","12/20/2015",1.35,54876.98
"Albany","12/13/2015",0.93,118220.22
"Albany","12/6/2015",1.08,78992.15
"Albany","11/29/2015",1.28,51039.6
"Albany","11/22/2015",1.26,55979.78
"Albany","11/15/2015",0.99,83453.76
"Albany","11/8/2015",0.98,109428.33
"Albany","11/1/2015",1.02,99811.42
"Albany","10/25/2015",1.07,74338.76
"Albany","10/18/2015",1.12,84843.44
"Albany","10/11/2015",1.28,64489.17
"Albany","10/4/2015",1.31,61007.1
"Albany","9/27/2015",0.99,106803.39
"Albany","9/20/2015",1.33,69759.01
"Albany","9/13/2015",1.28,76111.27
"Albany","9/6/2015",1.11,99172.96
"Albany","8/30/2015",1.07,105693.84
"Albany","8/23/2015",1.34,79992.09
"Albany","8/16/2015",1.33,80043.78
"Albany","8/9/2015",1.12,111140.93
"Albany","8/2/2015",1.45,75133.1
"Albany","7/26/2015",1.11,106757.1
"Albany","7/19/2015",1.26,96617
"Albany","7/12/2015",1.05,124055.31
"Albany","7/5/2015",1.35,109252.12
"Albany","6/28/2015",1.37,89534.81
"Albany","6/21/2015",1.27,104849.39
"Albany","6/14/2015",1.32,89631.3
"Albany","6/7/2015",1.07,122743.06
"Albany","5/31/2015",1.23,95123.62
"Albany","5/24/2015",1.19,101470.91
"Albany","5/17/2015",1.43,109857.47
"Albany","5/10/2015",1.26,120427.91
"Albany","5/3/2015",1.2,59197.67
"Albany","4/26/2015",1.22,49585.46
"Albany","4/19/2015",1.19,49064.73
"Albany","4/12/2015",1.13,48364.29
"Albany","4/5/2015",1.16,47362.13
"Albany","3/29/2015",1.02,67799.08
"Albany","3/22/2015",1.12,46346.85
"Albany","3/15/2015",1.11,43045.79
"Albany","3/8/2015",1.07,40507.36
"Albany","3/1/2015",0.99,55595.74
"Albany","2/22/2015",1.07,45675.05
"Albany","2/15/2015",1.06,41567.62
"Albany","2/8/2015",0.99,51253.97
"Albany","2/1/2015",0.99,70873.6
"Albany","1/25/2015",1.06,45147.5
"Albany","1/18/2015",1.17,44511.28
"Albany","1/11/2015",1.24,41195.08
"Albany","1/4/2015",1.22,40873.28
"Atlanta","12/27/2015",0.99,386100.49
"Atlanta","12/20/2015",1.08,331377.53
"Atlanta","12/13/2015",0.96,417772.47
"Atlanta","12/6/2015",1.07,357636.82
"Atlanta","11/29/2015",0.99,333280.79
"Atlanta","11/22/2015",1,356414.57
"Atlanta","11/15/2015",1.13,339860.68
"Atlanta","11/8/2015",1.12,334041.6
"Atlanta","11/1/2015",0.99,419088.74
"Atlanta","10/25/2015",1.09,358478.08
"Atlanta","10/18/2015",1.09,349072.48
"Atlanta","10/11/2015",0.95,433874.46
"Atlanta","10/4/2015",0.96,418682.26
"Atlanta","9/27/2015",1.07,370321.17
"Atlanta","9/20/2015",0.93,516432.6
"Atlanta","9/13/2015",1.07,417232.18
"Atlanta","9/6/2015",0.97,472136.53
"Atlanta","8/30/2015",1.15,382972.72
"Atlanta","8/23/2015",1.12,379054.29
"Atlanta","8/16/2015",1.09,465213.81
"Atlanta","8/9/2015",1.01,503791.72
"Atlanta","8/2/2015",1.15,405898.44
"Atlanta","7/26/2015",1.08,437377.75
"Atlanta","7/19/2015",0.97,557212.99
"Atlanta","7/12/2015",1.14,407204.88
"Atlanta","7/5/2015",1.01,562462.33
"Atlanta","6/28/2015",1.13,435210.71
"Atlanta","6/21/2015",0.99,554763.76
"Atlanta","6/14/2015",1.1,465804.78
"Atlanta","6/7/2015",0.99,551009.05
"Atlanta","5/31/2015",1.1,454702
"Atlanta","5/24/2015",0.96,623212.04
"Atlanta","5/17/2015",1.11,451250.7
"Atlanta","5/10/2015",1.1,480071.18
"Atlanta","5/3/2015",1,634213.1
"Atlanta","4/26/2015",1.12,448596.76
"Atlanta","4/19/2015",1.12,430966.34
"Atlanta","4/12/2015",0.99,451101.89
"Atlanta","4/5/2015",1.04,383139.49
"Atlanta","3/29/2015",1.11,365722.14
"Atlanta","3/22/2015",1,479590.62
"Atlanta","3/15/2015",1.12,399566.22
"Atlanta","3/8/2015",1.1,420826.32
"Atlanta","3/1/2015",0.99,512532.44
"Atlanta","2/22/2015",1.1,431308.56
"Atlanta","2/15/2015",1.06,427391.28
"Atlanta","2/8/2015",1.03,433883.91
"Atlanta","2/1/2015",0.96,636771.37
"Atlanta","1/25/2015",1.1,449332.85
"Atlanta","1/18/2015",1.11,431490.99
"Atlanta","1/11/2015",1.11,397542.72
"Atlanta","1/4/2015",1,435021.49
"BaltimoreWashington","12/27/2015",1.17,596819.4
"BaltimoreWashington","12/20/2015",1.11,642682.4
