"type","certified","body","make","model","trim","mileage","price","year","dealer","city","rating","reviews","badge"
"Used",0,"Convertible","BMW","Z4","sDrive28i",64899,16891,2012,"Audi Fletcher Jones","Costa Mesa",4.9,368,"Good Deal"
"New",0,"SUV","Volkswagen","Atlas Cross Sport","3.6L V6 SE w/Technology",12,41925,2020,"Volkswagen South Coast","Santa Ana",3.7,264,
"New",0,"Sedan","BMW","745e","xDrive iPerformance",10,100995,2020,"Crevier BMW","Santa Ana",3.6,310,
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",34599,17790,2019,"Carvana-Touchless Delivery To Your Home","Irvine",4.4,1941,"Good Deal"
"Used",0,"SUV","Dodge","Journey","SE",7307,18980,2019,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Good Deal"
"Used",0,"Wagon","Chevrolet","Bolt EV","LT",43169,19990,2017,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,"Great Deal"
"Used",0,"Coupe","Chevrolet","Camaro","SS",927,40995,2020,"Pacific Auto Center - Costa Mesa","Costa Mesa",2,3,"Good Deal"
"Used",1,"SUV","Honda","Pilot","EX",26416,24600,2016,"AutoNation Honda Costa Mesa","Costa Mesa",4.7,527,"Good Deal"
"Used",0,"SUV","Jeep","Compass","Latitude",35433,14988,2017,"SC Car Zone","Costa Mesa",4.2,69,"Good Deal"
"Used",0,"SUV","Ford","Escape","SE",42890,12993,2017,"Orange Coast Chrysler Jeep Dodge Ram","Costa Mesa",4.5,407,"Great Deal"
"Used",0,"SUV","Mercedes-Benz","AMG GLE 63","S Coupe 4MATIC",65926,57995,2018,"Private Collection Motors","Costa Mesa",4,53,"Good Deal"
"Used",0,"Sedan","Maserati","Ghibli","S",18153,37995,2017,"Private Collection Motors","Costa Mesa",4,53,"Good Deal"
"Used",0,"Sedan","Scion","iA","Base",65244,6199,2016,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"Crew Cab Pickup","Chevrolet","Avalanche","LT",49125,20990,2013,"Sterling Imports LTD","Santa Ana",1,77,"Great Deal"
"New",0,"SUV","Kia","Telluride","LX",10,33270,2020,"Garden Grove Kia","Garden Grove",3,53,
"New",0,"Hatchback","Kia","Soul","GT-Line",15,19048,2020,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"SUV","Volkswagen","Tiguan","2.0T SEL Premium R-Line",11,38810,2020,"Volkswagen of Garden Grove","Garden Grove",2.3,55,
"New",0,"SUV","Nissan","Rogue Sport","S",3,21180,2020,"Surf City Nissan","Huntington Beach",1,1,
"Used",0,"Sedan","Nissan","Versa","1.6 SV",54872,9988,2017,"Auto Boyz","Garden Grove",0,2,"Good Deal"
"Used",0,"SUV","Nissan","Juke","S",47931,12586,2017,"Elmore Toyota","Westminster",3.6,110,"Good Deal"
"Used",0,"Hatchback","Chevrolet","Volt","LT",35941,13500,2017,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"Used",0,"Sedan","Maserati","Ghibli","S",28560,34888,2017,"O.C. AUTOHAUS","Westminster",4.2,72,"Good Deal"
"New",0,"SUV","Mercedes-Benz","GLA 250","",1,39945,2020,"Mercedes-Benz of Foothill Ranch","Lake Forest",4.7,397,
"Used",0,"SUV","Mercury","Mariner","Base",66179,6995,2010,"Frank's Motorcars","Laguna Beach",0,0,"Great Deal"
"Used",0,"Coupe","Lexus","RC 200t","",42705,26498,2017,"Hi Auto Sales INC.","Westminster",3.7,42,"Good Deal"
