"age","job","marital","education","default","balance","housing","loan","contact","campaign","durmin","previous","poutcome","pweek","subscribe"
30,"unemployed","married","primary","no",1787,"no","no","cellular",1,1.31666666666667,0,"unknown",0,0
33,"services","married","secondary","no",4789,"yes","yes","cellular",1,3.66666666666667,4,"failure",48.4285714285714,0
35,"management","single","tertiary","no",1350,"yes","no","cellular",1,3.08333333333333,1,"failure",47.1428571428571,0
30,"management","married","tertiary","no",1476,"yes","yes","unknown",4,3.31666666666667,0,"unknown",0,0
59,"blue-collar","married","secondary","no",0,"yes","no","unknown",1,3.76666666666667,0,"unknown",0,0
35,"management","single","tertiary","no",747,"no","no","cellular",2,2.35,3,"failure",25.1428571428571,0
36,"self-employed","married","tertiary","no",307,"yes","no","cellular",1,5.68333333333333,2,"other",47.1428571428571,0
39,"technician","married","secondary","no",147,"yes","no","cellular",2,2.51666666666667,0,"unknown",0,0
41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown",2,0.95,0,"unknown",0,0
43,"services","married","primary","no",-88,"yes","yes","cellular",1,5.21666666666667,2,"failure",21,0
39,"services","married","secondary","no",9374,"yes","no","unknown",1,4.55,0,"unknown",0,0
43,"admin.","married","secondary","no",264,"yes","no","cellular",2,1.88333333333333,0,"unknown",0,0
36,"technician","married","tertiary","no",1109,"no","no","cellular",2,5.46666666666667,0,"unknown",0,0
20,"student","single","secondary","no",502,"no","no","cellular",1,4.35,0,"unknown",0,1
31,"blue-collar","married","secondary","no",360,"yes","yes","cellular",1,1.48333333333333,1,"failure",34.4285714285714,0
40,"management","married","tertiary","no",194,"no","yes","cellular",2,3.15,0,"unknown",0,0
56,"technician","married","secondary","no",4073,"no","no","cellular",5,3.98333333333333,0,"unknown",0,0
37,"admin.","single","tertiary","no",2317,"yes","no","cellular",1,1.9,2,"failure",21.7142857142857,0
25,"blue-collar","single","primary","no",-221,"yes","no","unknown",1,4.16666666666667,0,"unknown",0,0
31,"services","married","secondary","no",132,"no","no","cellular",1,2.46666666666667,1,"other",21.7142857142857,0
38,"management","divorced","unknown","no",0,"yes","no","cellular",2,1.6,0,"unknown",0,0
42,"management","divorced","tertiary","no",16,"no","no","cellular",3,2.33333333333333,0,"unknown",0,0
44,"services","single","secondary","no",106,"no","no","unknown",2,1.81666666666667,0,"unknown",0,0
44,"entrepreneur","married","secondary","no",93,"no","no","cellular",2,2.08333333333333,0,"unknown",0,0
26,"housemaid","married","tertiary","no",543,"no","no","cellular",3,2.81666666666667,0,"unknown",0,0
41,"management","married","tertiary","no",5883,"no","no","cellular",2,3.03333333333333,0,"unknown",0,0
55,"blue-collar","married","primary","no",627,"yes","no","unknown",1,4.11666666666667,0,"unknown",0,0
67,"retired","married","unknown","no",696,"no","no","telephone",1,1.98333333333333,2,"failure",15,0
56,"self-employed","married","secondary","no",784,"no","yes","cellular",2,2.48333333333333,0,"unknown",0,0
53,"admin.","married","secondary","no",105,"no","yes","cellular",2,1.23333333333333,0,"unknown",0,0
68,"retired","divorced","secondary","no",4189,"no","no","telephone",2,14.95,0,"unknown",0,1
31,"technician","married","secondary","no",171,"no","no","cellular",3,1.35,0,"unknown",0,0
59,"management","married","secondary","no",42,"no","no","cellular",1,0.666666666666667,0,"unknown",0,0
32,"management","single","tertiary","no",2536,"yes","no","cellular",6,15.9666666666667,0,"unknown",0,1
49,"technician","married","tertiary","no",1235,"no","no","cellular",3,5.9,0,"unknown",0,1
42,"admin.","divorced","secondary","no",1811,"yes","no","unknown",1,2.5,0,"unknown",0,0
78,"retired","divorced","primary","no",229,"no","no","telephone",1,1.61666666666667,0,"unknown",0,1
32,"blue-collar","married","secondary","no",2089,"yes","no","cellular",1,2.2,0,"unknown",0,1
33,"management","married","secondary","no",3935,"yes","no","cellular",1,12.75,2,"failure",48.8571428571429,1
23,"services","single","tertiary","no",363,"yes","no","unknown",18,0.266666666666667,0,"unknown",0,0
38,"management","single","tertiary","no",11971,"yes","no","unknown",2,10.15,3,"failure",14.4285714285714,0
36,"management","single","tertiary","no",553,"no","no","cellular",2,1.76666666666667,0,"unknown",0,0
52,"blue-collar","married","secondary","no",1117,"yes","no","cellular",1,6.08333333333333,0,"unknown",0,0
32,"technician","married","tertiary","no",396,"yes","no","cellular",3,3.41666666666667,0,"unknown",0,0
32,"technician","single","tertiary","no",2204,"yes","no","cellular",4,0.183333333333333,0,"unknown",0,0
34,"management","single","tertiary","no",872,"yes","no","unknown",2,1.75,0,"unknown",0,0
55,"blue-collar","married","primary","no",145,"no","no","telephone",3,0.983333333333333,2,"other",0.714285714285714,0
26,"blue-collar","married","primary","no",0,"yes","no","unknown",1,7.08333333333333,0,"unknown",0,0
32,"entrepreneur","single","primary","yes",-849,"yes","yes","cellular",1,3.4,0,"unknown",0,0
61,"admin.","married","unknown","no",4629,"yes","no","cellular",1,3.01666666666667,1,"success",13.1428571428571,1
45,"blue-collar","divorced","primary","no",844,"no","no","unknown",3,16.9666666666667,0,"unknown",0,1
37,"technician","single","secondary","no",228,"yes","no","cellular",2,29,0,"unknown",0,0
38,"technician","single","secondary","no",50,"no","no","cellular",2,1.63333333333333,0,"unknown",0,0
34,"technician","married","tertiary","no",1539,"yes","no","cellular",1,7.35,1,"other",8,1
