"Default","duration","amount","installment","age","history","purpose","foreign","rent"
0,6,1169,4,67,"terrible","goods/repair","foreign","FALSE"
1,48,5951,2,22,"poor","goods/repair","foreign","FALSE"
0,12,2096,2,49,"terrible","edu","foreign","FALSE"
0,42,7882,2,45,"poor","goods/repair","foreign","FALSE"
1,24,4870,3,53,"poor","newcar","foreign","FALSE"
0,36,9055,2,35,"poor","edu","foreign","FALSE"
0,24,2835,3,53,"poor","goods/repair","foreign","FALSE"
0,36,6948,2,35,"poor","usedcar","foreign","TRUE"
0,12,3059,2,61,"poor","goods/repair","foreign","FALSE"
1,30,5234,4,28,"terrible","newcar","foreign","FALSE"
1,12,1295,3,25,"poor","newcar","foreign","TRUE"
1,48,4308,3,24,"poor","biz","foreign","TRUE"
0,12,1567,1,22,"poor","goods/repair","foreign","FALSE"
1,24,1199,4,60,"terrible","newcar","foreign","FALSE"
0,15,1403,2,28,"poor","newcar","foreign","TRUE"
1,24,1282,4,32,"poor","goods/repair","foreign","FALSE"
0,24,2424,4,53,"terrible","goods/repair","foreign","FALSE"
0,30,8072,2,25,"good","biz","foreign","FALSE"
1,24,12579,4,44,"poor","usedcar","foreign","FALSE"
0,24,3430,3,31,"poor","goods/repair","foreign","FALSE"
0,9,2134,4,48,"terrible","newcar","foreign","FALSE"
0,6,2647,2,44,"poor","goods/repair","foreign","TRUE"
0,10,2241,1,48,"terrible","newcar","german","TRUE"
0,12,1804,3,44,"terrible","usedcar","foreign","FALSE"
0,10,2069,2,26,"terrible","goods/repair","german","FALSE"
0,6,1374,1,36,"poor","goods/repair","foreign","FALSE"
0,6,426,4,39,"good","goods/repair","foreign","FALSE"
0,12,409,3,42,"good","goods/repair","foreign","TRUE"
0,7,2415,3,34,"poor","goods/repair","foreign","FALSE"
1,60,6836,3,63,"poor","biz","foreign","FALSE"
0,18,1913,3,36,"poor","biz","foreign","FALSE"
0,24,4020,2,27,"poor","goods/repair","foreign","FALSE"
0,18,5866,2,30,"poor","newcar","foreign","FALSE"
0,12,1264,4,57,"terrible","biz","foreign","TRUE"
0,12,1474,4,33,"poor","goods/repair","foreign","FALSE"
1,45,4746,4,25,"terrible","goods/repair","foreign","FALSE"
0,48,6110,1,31,"terrible","edu","foreign","FALSE"
1,18,2100,4,37,"poor","goods/repair","foreign","FALSE"
0,10,1225,2,37,"poor","goods/repair","foreign","FALSE"
0,9,458,4,24,"poor","goods/repair","foreign","FALSE"
0,30,2333,4,30,"poor","goods/repair","foreign","FALSE"
0,12,1158,3,26,"poor","goods/repair","foreign","FALSE"
0,18,6204,2,44,"poor","goods/repair","foreign","FALSE"
0,30,6187,1,24,"terrible","usedcar","foreign","TRUE"
1,48,6143,4,58,"terrible","usedcar","foreign","FALSE"
0,11,1393,4,35,"terrible","newcar","foreign","FALSE"
0,36,2299,4,39,"poor","goods/repair","foreign","FALSE"
0,6,1352,1,23,"poor","usedcar","foreign","TRUE"
0,11,7228,1,39,"terrible","newcar","foreign","FALSE"
0,12,2073,4,28,"poor","goods/repair","foreign","FALSE"
0,24,2333,4,29,"poor","goods/repair","foreign","FALSE"
0,27,5965,1,30,"poor","usedcar","foreign","FALSE"
0,12,1262,3,25,"poor","goods/repair","foreign","FALSE"
0,18,3378,2,31,"poor","usedcar","foreign","FALSE"
1,36,2225,4,57,"poor","newcar","foreign","FALSE"
0,6,783,1,26,"good","newcar","foreign","FALSE"
1,12,6468,2,52,"poor","goods/repair","foreign","FALSE"
0,36,9566,2,31,"terrible","goods/repair","foreign","FALSE"
0,18,1961,3,23,"poor","newcar","foreign","FALSE"
1,36,6229,4,23,"terrible","goods/repair","foreign","TRUE"
0,9,1391,2,27,"poor","biz","foreign","FALSE"
0,15,1537,4,50,"terrible","goods/repair","foreign","FALSE"
1,36,1953,4,61,"good","biz","foreign","FALSE"
1,48,14421,2,25,"good","biz","foreign","FALSE"
0,24,3181,4,26,"poor","goods/repair","foreign","FALSE"
0,27,5190,4,48,"poor","goods/repair","foreign","FALSE"
0,12,2171,2,29,"poor","goods/repair","foreign","FALSE"
0,12,1007,4,22,"poor","newcar","foreign","FALSE"
1,36,1819,4,37,"poor","edu","foreign","FALSE"
0,36,2394,4,25,"poor","goods/repair","foreign","FALSE"
0,36,8133,1,30,"poor","usedcar","foreign","FALSE"
0,7,730,4,46,"terrible","goods/repair","foreign","TRUE"
0,8,1164,3,51,"terrible","biz","foreign","FALSE"
0,42,5954,2,41,"terrible","biz","foreign","FALSE"
1,36,1977,4,40,"poor","edu","foreign","FALSE"
0,12,1526,4,66,"terrible","usedcar","foreign","FALSE"
1,42,3965,4,34,"poor","goods/repair","foreign","FALSE"
0,11,4771,2,51,"poor","goods/repair","foreign","FALSE"
0,54,9436,2,39,"good","usedcar","foreign","FALSE"
0,30,3832,2,22,"poor","goods/repair","foreign","FALSE"
1,24,5943,1,44,"poor","goods/repair","foreign","FALSE"
0,15,1213,4,47,"poor","goods/repair","foreign","FALSE"
0,18,1568,3,24,"poor","biz","foreign","TRUE"
0,24,1755,4,58,"poor","biz","foreign","FALSE"
0,10,2315,3,52,"poor","goods/repair","foreign","FALSE"
0,12,1412,4,29,"terrible","biz","foreign","FALSE"
0,18,1295,4,27,"terrible","goods/repair","foreign","FALSE"
1,36,12612,1,47,"poor","edu","foreign","FALSE"
0,18,2249,4,30,"poor","newcar","foreign","FALSE"
1,12,1108,4,28,"good","goods/repair","foreign","FALSE"
0,12,618,4,56,"terrible","goods/repair","foreign","FALSE"
0,12,1409,4,54,"terrible","usedcar","foreign","FALSE"
1,12,797,4,33,"terrible","goods/repair","foreign","FALSE"
0,24,3617,4,20,"terrible","goods/repair","foreign","TRUE"
0,12,1318,4,54,"poor","newcar","foreign","FALSE"
1,54,15945,3,58,"good","biz","foreign","TRUE"
0,12,2012,4,61,"terrible","edu","foreign","FALSE"
0,18,2622,4,34,"poor","biz","foreign","FALSE"
0,36,2337,4,36,"terrible","goods/repair","foreign","FALSE"
0,20,7057,3,36,"poor","usedcar","foreign","TRUE"
0,24,1469,4,41,"poor","newcar","foreign","TRUE"
0,36,2323,4,24,"poor","goods/repair","foreign","TRUE"
0,6,932,3,24,"poor","goods/repair","foreign","FALSE"
0,9,1919,4,35,"terrible","goods/repair","foreign","TRUE"
0,12,2445,2,26,"poor","usedcar","foreign","TRUE"
1,24,11938,2,39,"terrible","biz","foreign","FALSE"
1,18,6458,2,39,"good","newcar","foreign","FALSE"
0,12,6078,2,32,"poor","newcar","foreign","FALSE"
0,24,7721,1,30,"poor","goods/repair","german","FALSE"
0,14,1410,1,35,"poor","biz","foreign","FALSE"
0,6,1449,1,31,"poor","biz","foreign","FALSE"
0,15,392,4,23,"poor","edu","foreign","TRUE"
0,18,6260,3,28,"poor","newcar","foreign","TRUE"
1,36,7855,4,25,"terrible","newcar","foreign","FALSE"
0,12,1680,3,35,"poor","goods/repair","foreign","FALSE"
0,48,3578,4,47,"terrible","goods/repair","foreign","FALSE"
1,42,7174,4,30,"poor","goods/repair","foreign","FALSE"
0,10,2132,2,27,"terrible","goods/repair","german","TRUE"
1,33,4281,1,23,"terrible","goods/repair","foreign","FALSE"
0,12,2366,3,36,"terrible","newcar","foreign","FALSE"
1,21,1835,3,25,"poor","goods/repair","foreign","FALSE"
0,24,3868,4,41,"terrible","usedcar","foreign","TRUE"
0,12,1768,3,24,"poor","goods/repair","foreign","TRUE"
0,10,781,4,63,"terrible","newcar","foreign","FALSE"
1,18,1924,4,27,"poor","goods/repair","foreign","TRUE"
0,12,2121,4,30,"terrible","newcar","foreign","FALSE"
0,12,701,4,40,"poor","goods/repair","foreign","FALSE"
1,12,639,4,30,"poor","goods/repair","foreign","FALSE"
0,12,1860,4,34,"terrible","usedcar","foreign","FALSE"
1,12,3499,3,29,"terrible","newcar","foreign","FALSE"
0,48,8487,1,24,"poor","newcar","foreign","FALSE"
1,36,6887,4,29,"poor","edu","foreign","FALSE"
0,15,2708,2,27,"poor","goods/repair","foreign","FALSE"
0,18,1984,4,47,"poor","goods/repair","foreign","FALSE"
0,60,10144,2,21,"poor","goods/repair","foreign","FALSE"
0,12,1240,4,38,"terrible","goods/repair","foreign","FALSE"
0,27,8613,2,27,"poor","usedcar","foreign","FALSE"
1,12,766,4,66,"poor","goods/repair","foreign","FALSE"
0,15,2728,4,35,"terrible","goods/repair","foreign","FALSE"
0,12,1881,2,44,"poor","goods/repair","foreign","TRUE"
0,6,709,2,27,"poor","newcar","german","FALSE"
0,36,4795,4,30,"poor","goods/repair","foreign","FALSE"
0,27,3416,3,27,"poor","goods/repair","foreign","FALSE"
1,18,2462,2,22,"poor","goods/repair","foreign","FALSE"
0,21,2288,4,23,"terrible","goods/repair","foreign","FALSE"
0,48,3566,4,30,"good","biz","foreign","FALSE"
0,6,860,1,39,"terrible","newcar","foreign","FALSE"
0,12,682,4,51,"terrible","newcar","foreign","FALSE"
0,36,5371,3,28,"terrible","goods/repair","foreign","FALSE"
0,18,1582,4,46,"terrible","goods/repair","foreign","FALSE"
0,6,1346,2,42,"poor","goods/repair","foreign","FALSE"
0,10,1924,1,38,"poor","goods/repair","german","FALSE"
0,36,5848,4,24,"poor","goods/repair","foreign","FALSE"
0,24,7758,2,29,"terrible","usedcar","foreign","TRUE"
0,24,6967,4,36,"poor","biz","foreign","TRUE"
1,12,1282,2,20,"poor","goods/repair","foreign","TRUE"
0,9,1288,3,48,"terrible","goods/repair","german","FALSE"
0,12,339,4,45,"good","edu","foreign","FALSE"
0,24,3512,2,38,"poor","newcar","foreign","FALSE"
0,6,1898,1,34,"terrible","goods/repair","foreign","FALSE"
0,24,2872,3,36,"terrible","goods/repair","foreign","FALSE"
0,18,1055,4,30,"terrible","newcar","foreign","FALSE"
0,15,1262,4,36,"poor","goods/repair","foreign","FALSE"
0,10,7308,2,70,"poor","newcar","foreign","FALSE"
0,36,909,4,36,"poor","newcar","foreign","FALSE"
0,6,2978,1,32,"poor","goods/repair","foreign","FALSE"
1,18,1131,4,33,"poor","goods/repair","foreign","FALSE"
0,11,1577,4,20,"poor","goods/repair","foreign","FALSE"
0,24,3972,2,25,"poor","goods/repair","foreign","TRUE"
1,24,1935,4,31,"terrible","biz","foreign","FALSE"
1,15,950,4,33,"good","newcar","foreign","TRUE"
0,12,763,4,26,"poor","goods/repair","foreign","FALSE"
1,24,2064,3,34,"poor","goods/repair","foreign","FALSE"
0,8,1414,4,33,"poor","goods/repair","german","FALSE"
1,21,3414,2,26,"poor","edu","foreign","FALSE"
1,30,7485,4,53,"good","usedcar","foreign","FALSE"
0,12,2577,2,42,"poor","goods/repair","foreign","FALSE"
0,6,338,4,52,"terrible","goods/repair","foreign","FALSE"
0,12,1963,4,31,"poor","goods/repair","foreign","TRUE"
0,21,571,4,65,"terrible","newcar","foreign","FALSE"
1,36,9572,1,28,"poor","biz","foreign","FALSE"
1,36,4455,2,30,"poor","biz","foreign","FALSE"
1,21,1647,4,40,"good","newcar","foreign","FALSE"
0,24,3777,4,50,"terrible","goods/repair","foreign","FALSE"
1,18,884,4,36,"terrible","newcar","foreign","FALSE"
0,15,1360,4,31,"terrible","goods/repair","foreign","FALSE"
1,9,5129,2,74,"good","usedcar","foreign","FALSE"
0,16,1175,2,68,"terrible","newcar","foreign","FALSE"
1,12,674,4,20,"poor","goods/repair","foreign","FALSE"
0,18,3244,1,33,"good","goods/repair","foreign","FALSE"
1,24,4591,2,54,"poor","biz","foreign","FALSE"
1,48,3844,4,34,"good","biz","foreign","FALSE"
1,27,3915,4,36,"poor","biz","foreign","FALSE"
