"choice","incost","opcost","income","agehed","rooms","region"
"gc",866,199.69,"7",25,6,"ncostl"
"gc",727.93,168.66,"5",60,5,"scostl"
"gc",599.48,165.58,"4",65,2,"ncostl"
"er",831.04,425.22,"2",50,4,"scostl"
"er",985.64,389.52,"2",25,6,"valley"
"gc",666.11,135.67,"6",65,7,"scostl"
"gc",670.1,191.84,"4",35,2,"scostl"
"gc",778.03,187.61,"6",20,7,"valley"
"gc",928.34,168.7,"5",60,6,"scostl"
"gc",682.88,176.14,"7",20,2,"scostl"
"gc",858.26,159.92,"5",60,6,"mountn"
"gc",1021.7,214.8,"7",25,4,"mountn"
"gc",651.83,127.4,"5",35,3,"ncostl"
"gr",617.43,111.86,"2",30,6,"valley"
"gc",602.51,139.54,"3",35,2,"valley"
"gr",1114.1,160.99,"4",35,4,"scostl"
"hp",1058,209.57,"6",55,2,"scostl"
"hp",779.94,165.22,"7",35,4,"scostl"
"er",664.22,290.74,"6",65,2,"ncostl"
"gc",899.87,213.84,"7",50,4,"ncostl"
"ec",788.07,440.99,"5",40,5,"scostl"
"gr",1034.8,155.97,"5",35,4,"scostl"
"gc",575.07,109.94,"4",20,7,"scostl"
"hp",1162.8,220.51,"5",35,3,"scostl"
"gc",974.55,206.99,"4",45,3,"ncostl"
"gr",1042.7,145.48,"2",30,7,"scostl"
"gc",803.75,172.26,"4",35,7,"scostl"
"ec",991.82,584.83,"6",60,4,"scostl"
"ec",724.01,443.82,"4",25,3,"ncostl"
"gc",720.41,174.76,"7",55,7,"ncostl"
"gc",677.05,197.23,"4",50,2,"scostl"
"gr",876.29,146.17,"5",45,7,"ncostl"
"gr",1264.3,194.23,"3",65,4,"mountn"
"gc",714.53,201.48,"5",60,5,"scostl"
"gc",530.05,157.24,"6",60,4,"scostl"
"gc",687.34,165.15,"4",35,3,"scostl"
"gr",825.44,129.25,"7",30,5,"mountn"
"gc",651.67,171.33,"2",60,2,"scostl"
"gc",685.47,171.5,"6",45,2,"valley"
"er",1054,432.58,"2",65,4,"scostl"
"gc",785.89,180.3,"7",50,5,"scostl"
"gr",1086.5,170.95,"2",55,2,"mountn"
"gc",579.96,152.09,"4",45,2,"ncostl"
"gc",858.84,188.06,"5",30,5,"scostl"
"gc",689.48,149.06,"7",45,4,"valley"
"gc",937.94,183.58,"6",55,5,"scostl"
"er",810.51,296.41,"4",50,4,"ncostl"
"gc",806.58,201.69,"6",35,3,"ncostl"
"gc",773.16,204.12,"7",55,3,"scostl"
"gc",814.5,189.52,"5",25,2,"valley"
"gc",785.99,151.78,"5",20,7,"ncostl"
"gc",955.85,195.4,"2",30,3,"scostl"
"gc",879.47,203.06,"6",30,6,"scostl"
"gc",793.47,163.62,"6",45,7,"mountn"
"hp",1203.3,249.01,"5",25,3,"valley"
"gr",774.01,139.45,"6",50,3,"mountn"
"gc",620.45,166.47,"6",30,6,"valley"
"hp",1265.4,289.06,"3",25,4,"scostl"
"gc",749.66,165.91,"6",35,4,"scostl"
"gc",736.2,177.04,"6",45,4,"scostl"
"gc",680.33,154.82,"7",20,2,"scostl"
"gc",667.29,157.71,"7",25,2,"ncostl"
"gc",882.05,177.27,"5",20,6,"ncostl"
"gc",787.53,186.34,"6",65,2,"ncostl"
"gr",1148,181.05,"2",35,4,"ncostl"
"gc",790.11,191.43,"2",30,5,"valley"
"gc",787.87,174.64,"5",35,5,"valley"
"gc",623.39,150.24,"2",50,7,"scostl"
"gr",1111.1,185.77,"3",35,6,"valley"
"gc",784.09,155.01,"4",60,6,"ncostl"
"gr",798.21,111.86,"3",55,2,"scostl"
"gc",787.07,207.62,"7",20,4,"valley"
"er",824.73,410.78,"4",45,2,"scostl"
"hp",1000.6,233.45,"5",65,3,"ncostl"
"er",865.94,344.24,"3",30,5,"ncostl"
"gc",823.32,161.57,"2",60,3,"ncostl"
"gc",803.38,144.71,"6",40,7,"scostl"
"gc",833.51,146.5,"5",55,6,"scostl"
"er",1059.3,350.14,"5",35,4,"scostl"
"gr",960.28,154.22,"2",45,2,"ncostl"
"gc",781.19,145.09,"4",65,3,"ncostl"
"gc",557.31,120.96,"6",45,4,"valley"
"gc",716.35,174.14,"2",25,6,"scostl"
"hp",1000.6,200.57,"7",25,2,"ncostl"
"gr",740.48,141.86,"2",55,5,"ncostl"
"gc",804.94,174.56,"5",20,4,"scostl"
"gc",780.72,183.72,"6",35,4,"ncostl"
"gc",659.43,143.17,"5",65,3,"scostl"
"gc",717.84,151.82,"6",20,2,"ncostl"
"gc",505.93,125.04,"7",40,4,"scostl"
"hp",1070.4,227.88,"5",30,2,"ncostl"
"gc",804.6,146.29,"6",50,7,"ncostl"
"gc",673.69,144.01,"6",30,7,"scostl"
"gr",1010.9,161.65,"5",55,6,"scostl"
"gc",830.98,182.24,"7",25,5,"ncostl"
"gc",906.69,179.65,"5",40,5,"mountn"
"gc",682.7,142.33,"6",60,5,"mountn"
"gc",672.11,169.22,"6",35,6,"valley"
"gc",816.25,200.79,"2",35,5,"scostl"
"gc",723.46,158.58,"3",55,7,"valley"
"gc",898.37,206.17,"6",65,7,"valley"
"gc",563.79,139.48,"2",20,4,"scostl"
"gc",721.78,176.34,"6",65,7,"scostl"
"er",934.18,443.27,"5",60,6,"valley"
"ec",780.37,455.62,"4",35,6,"scostl"
"gc",699.33,181.75,"6",60,2,"ncostl"
"gc",691.55,158.3,"5",55,6,"valley"
"gc",593.03,148.62,"5",55,4,"ncostl"
"hp",1272.9,205.3,"7",35,5,"scostl"
"gc",849.85,172.15,"5",55,6,"valley"
"gc",846.58,182.25,"2",50,6,"ncostl"
"gc",722.34,160.97,"4",35,7,"mountn"
"hp",892.85,188.4,"7",30,4,"valley"
"er",712.86,236.67,"5",60,3,"scostl"
"ec",558.6,420.88,"7",55,5,"scostl"
"gc",881.72,183.73,"3",20,3,"mountn"
"gc",897.31,184.06,"4",25,2,"ncostl"
"gc",840.91,169.91,"5",45,2,"mountn"
"gc",857.49,180.38,"7",30,6,"ncostl"
"gc",741.95,155.61,"6",20,4,"scostl"
"gr",1163.4,175.07,"7",55,6,"ncostl"
"er",1125.4,442.36,"6",40,7,"valley"
"gc",953.81,193.8,"5",30,6,"scostl"
"gc",775.8,185.82,"6",40,6,"valley"
"gc",669.15,178.94,"7",55,5,"scostl"
"gc",959.43,208.38,"2",30,7,"ncostl"
"gc",667.44,156.49,"2",65,6,"scostl"
"gc",776.23,157.99,"5",45,6,"scostl"
"gc",780.84,176.67,"6",45,6,"scostl"
"gr",817.37,158.33,"6",45,4,"valley"
"gc",827.22,155.45,"5",20,5,"valley"
"gr",1004,157.92,"7",30,2,"scostl"
"ec",889.76,447.3,"3",55,4,"ncostl"
