"longitude","latitude","housingMedianAge","population","households","medianIncome","medianHouseValue","AveBedrms","AveRooms","AveOccupancy"
-122.23,37.88,41,322,126,83252,452600,1.02380952380952,6.98412698412698,2.55555555555556
-122.22,37.86,21,2401,1138,83014,358500,0.971880492091388,6.23813708260105,2.10984182776801
-122.24,37.85,52,496,177,72574,352100,1.07344632768362,8.28813559322034,2.80225988700565
-122.25,37.85,52,558,219,56431,341300,1.07305936073059,5.81735159817352,2.54794520547945
-122.25,37.85,52,565,259,38462,342200,1.08108108108108,6.28185328185328,2.18146718146718
-122.25,37.85,52,413,193,40368,269700,1.10362694300518,4.76165803108808,2.13989637305699
-122.25,37.84,52,1094,514,36591,299200,0.95136186770428,4.93190661478599,2.1284046692607
-122.25,37.84,52,1157,647,31200,241400,1.06182380216383,4.79752704791345,1.78825347758887
-122.26,37.84,42,1206,595,20804,226700,1.11764705882353,4.29411764705882,2.02689075630252
-122.25,37.84,52,1551,714,36912,261100,0.990196078431373,4.97058823529412,2.17226890756303
-122.26,37.85,52,910,402,32031,281500,1.07960199004975,5.47761194029851,2.2636815920398
-122.26,37.85,52,1504,734,32705,241800,1.02452316076294,4.7724795640327,2.04904632152589
-122.26,37.85,52,1098,468,30750,213500,1.01282051282051,5.32264957264957,2.34615384615385
-122.26,37.84,52,345,174,26736,191300,1.09770114942529,4,1.98275862068966
-122.26,37.85,52,1212,620,19167,159200,1.00967741935484,4.26290322580645,1.95483870967742
-122.26,37.85,50,697,264,21250,140000,1.0719696969697,4.24242424242424,2.64015151515152
-122.27,37.85,52,793,331,27750,152500,1.04833836858006,5.93957703927492,2.39577039274924
-122.27,37.85,52,648,303,21202,155500,0.966996699669967,4.05280528052805,2.13861386138614
-122.26,37.84,50,990,419,19911,158700,1.08591885441527,5.3436754176611,2.36276849642005
-122.27,37.84,52,690,275,26033,162900,1.08363636363636,5.46545454545455,2.50909090909091
-122.27,37.85,40,409,166,13578,147500,1.10843373493976,4.52409638554217,2.46385542168675
-122.27,37.85,42,929,366,17135,159800,1.00273224043716,4.47814207650273,2.53825136612022
-122.27,37.84,52,1015,478,17250,113900,1.13179916317992,5.09623430962343,2.1234309623431
-122.27,37.84,52,853,325,21806,99700,1.03692307692308,5.19384615384615,2.62461538461538
-122.27,37.84,52,1006,422,26000,132600,1.03554502369668,5.27014218009479,2.38388625592417
-122.28,37.85,41,317,119,24038,107500,1.03361344537815,4.49579831932773,2.66386554621849
-122.28,37.85,49,607,239,24597,93800,1.02092050209205,4.72803347280335,2.5397489539749
-122.28,37.85,52,1102,397,18080,105500,1.06045340050378,4.7808564231738,2.77581863979849
-122.28,37.84,50,1131,473,16424,108900,1.04016913319239,4.40169133192389,2.39112050739958
-122.28,37.84,52,395,155,16875,132000,1.03225806451613,4.70322580645161,2.54838709677419
-122.28,37.84,49,863,378,19274,122300,1.18253968253968,5.06878306878307,2.28306878306878
-122.28,37.84,52,1168,441,19615,115200,1.09070294784581,4.88208616780045,2.64852607709751
-122.27,37.84,48,1026,335,17969,110400,1.22089552238806,5.73731343283582,3.06268656716418
-122.27,37.83,49,754,329,13750,104900,1.11246200607903,5.03039513677812,2.29179331306991
-122.27,37.83,51,1258,536,27303,109700,1.07089552238806,4.97201492537313,2.34701492537313
-122.27,37.83,49,570,264,14861,97200,1.06818181818182,4.60227272727273,2.15909090909091
